[2025-11-27 15:36:06.529] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:36:11.530] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:36:16.530] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:36:21.530] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:36:26.533] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=16ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:36:31.530] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:36:36.529] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:36:41.530] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:36:46.530] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:36:51.530] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:36:56.530] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:37:01.531] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:37:06.533] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=14ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:37:11.536] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=14ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:37:16.537] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:37:21.536] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
